Time,NID,NAE,CNA,PA,QLO,VP,VTS,VB,TVD,NOD,HR,QAO,VEC,VTW
25560,0.0208,2100.814285714286,142.3971428571429,80.84857142857142,4.9127,3.050485714285714,11.68971428571429,5.138785714285715,0,0.3691757142857143,49.52871428571429,4.9128,14.75285714285714,39.70357142857143
25920,0.0208,2082.04,140.521,75.67270000000001,4.715315,2.473015,12.3308,4.56249,0.003668125,0.01657,111.136,4.715315,14.81575,40.02895
26280,0.0208,2098.782142857143,140.3135714285714,74.96332142857143,4.699228571428572,2.461214285714286,12.48428571428571,4.558524999999999,0.0002832910714285714,0.01373021428571429,110.7060714285714,4.699228571428572,14.95810714285714,40.24546428571428
26640,0.0208,2113.264285714286,140.7057142857143,74.16953571428571,4.771949999999999,2.50205,12.50446428571429,4.605917857142857,0.0002502642857142857,0.01463971428571429,104.8757142857143,4.771949999999999,15.01885714285714,40.23071428571428
27000,0.0208,2124.535714285715,141.0375,73.51675,4.852824999999999,2.543285714285714,12.50789285714286,4.651992857142857,0.0002491807142857143,0.01553989285714286,99.65425,4.852835714285714,15.06296428571429,40.21257142857143
27360,0.0208,2078.18,142.708,76.9953,4.77777,2.92576,11.6242,5.035959999999999,0,0.0788117,55.5816,4.7778,14.5625,39.4362
27720,0.0208,2082.09,140.2925,74.05485,4.655525,2.445675,12.38355,4.55876,0.0010968385,0.0142346,109.6755,4.65558,14.84135,40.1216
28080,0.0208,2097.472222222222,140.535,73.36577777777778,4.699249999999999,2.468083333333333,12.44466666666667,4.5881,0.0002717283333333333,0.013971,105.7616666666667,4.699249999999999,14.92516666666667,40.16716666666667
28440,0.0208,2110.077777777778,140.8822222222222,72.74038888888889,4.771977777777778,2.505711111111111,12.45955555555556,4.631244444444444,0.0002597283333333333,0.01484744444444444,100.765,4.771977777777778,14.97805555555555,40.15388888888889
28800,0.0208,2119.873333333333,141.1686666666667,72.36746666666667,4.83832,2.550973333333333,12.45253333333333,4.68056,0.0001069628,0.01568086666666667,95.205,4.838106666666667,15.016,40.13813333333333
29160,0.0208,2072.923076923077,142.6169230769231,74.37953846153846,4.765846153846154,2.791438461538462,11.73146153846154,4.921038461538462,0.0007038376923076923,0.02247630769230769,65.55753846153846,4.765807692307693,14.53553846153846,39.41023076923077
29520,0.0208,2083.567924528302,140.3654716981132,72.91628301886793,4.647715094339623,2.439837735849057,12.39149056603774,4.574386792452831,0.0004216481132075472,0.01367254716981132,106.7194339622642,4.6478,14.84403773584906,40.11179245283019
