Time,NID,NAE,CNA,PA,QLO,VP,VTS,VB,TVD,NOD,HR,QAO,VEC,VTW
2.8484,0.1,2130,141.91,100.25,5.0995,3.0021,11.994,5.0021,0.00063303,0.094538,71.825,5.0991,15.009,40.012
2.934,0.1,2130,141.91,100.27,5.1021,3.0021,11.994,5.0021,0.0006248,0.099485,71.846,5.1007,15.009,40.012
3.0197,0.1,2130,141.92,100.31,5.1017,3.0021,11.994,5.0021,0.00061672,0.10612,71.834,5.0997,15.009,40.012
3.0791,0.1,2130,141.92,100.34,5.0999,3.0021,11.994,5.0021,0.00061121,0.11092,71.808,5.0978,15.009,40.012
3.0791,0.1,2130,141.92,100.34,5.0999,3.0021,11.994,5.0021,0.00061121,0.11092,71.808,5.0978,15.009,40.012
3.1647,0.1,2130,141.92,100.39,5.0957,3.0021,11.994,5.0021,0.00060343,0.117,71.75,5.0937,15.009,40.012
3.267,0.1,2130,141.92,100.44,5.0896,3.0022,11.994,5.0022,0.00059437,0.12173,71.668,5.0882,15.009,40.012
3.3692,0.1,2130,141.92,100.47,5.084,3.0023,11.994,5.0023,0.00058554,0.12291,71.59,5.0835,15.008,40.012
3.3867,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3867,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3867,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3867,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3867,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3867,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3867,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3867,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3867,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3867,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3867,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3867,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3867,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3867,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3868,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3868,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058405,0.12274,71.578,5.0828,15.008,40.011
3.3869,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058404,0.12273,71.578,5.0828,15.008,40.011
3.3878,0.1,2130,141.92,100.48,5.0832,3.0023,11.994,5.0023,0.00058397,0.12272,71.577,5.0828,15.008,40.011
3.3918,0.1,2130,141.92,100.48,5.083,3.0023,11.994,5.0023,0.00058362,0.12267,71.575,5.0826,15.008,40.011
3.4122,0.1,2130,141.92,100.48,5.0822,3.0023,11.994,5.0023,0.0005819,0.12233,71.562,5.082,15.008,40.011
